route_id,timestamp,latitude,longitude,speed_kmh,traffic_density,air_quality_index,weather,date,hour,day
R011,2025-08-06 05:55:12,14.72378,-17.41211,32,0.24,54,Rain,2025-08-06 05:55:12,5,Wednesday
R008,2025-08-04 11:42:46,14.65411,-17.36276,35,0.3,70,Sunny,2025-08-04 11:42:46,11,Monday
R004,2025-08-05 21:25:24,14.66041,-17.37104,43,0.19,74,Harmattan,2025-08-05 21:25:24,21,Tuesday
R016,2025-08-03 22:47:18,14.66061,-17.53793,34,0.2,60,Sunny,2025-08-03 22:47:18,22,Sunday
R015,2025-08-05 11:50:43,14.7222,-17.40616,25,0.5,70,Sunny,2025-08-05 11:50:43,11,Tuesday
R008,2025-08-03 22:55:52,14.76288,-17.40457,39,0.09,61,Sunny,2025-08-03 22:55:52,22,Sunday
R007,2025-08-06 02:03:41,14.71327,-17.37532,28,0.35,75,Sunny,2025-08-06 02:03:41,2,Wednesday
R003,2025-08-04 15:18:03,14.7453,-17.52369,33,0.26,61,Cloudy,2025-08-04 15:18:03,15,Monday
R017,2025-08-06 02:24:53,14.70789,-17.44704,28,0.31,58,Rain,2025-08-06 02:24:53,2,Wednesday
R018,2025-08-05 06:27:15,14.75055,-17.52383,30,0.19,57,Windy,2025-08-05 06:27:15,6,Tuesday
R004,2025-08-04 10:05:03,14.70602,-17.50026,27,0.42,81,Sunny,2025-08-04 10:05:03,10,Monday
R009,2025-08-01 17:08:35,14.75974,-17.38887,23,0.52,81,Sunny,2025-08-01 17:08:35,17,Friday
R014,2025-08-05 10:41:19,14.65511,-17.52558,30,0.42,61,Rain,2025-08-05 10:41:19,10,Tuesday
R011,2025-08-06 13:06:32,14.70912,-17.44688,28,0.43,70,Cloudy,2025-08-06 13:06:32,13,Wednesday
R017,2025-08-02 15:41:03,14.77609,-17.53122,37,0.07,50,Cloudy,2025-08-02 15:41:03,15,Saturday
R019,2025-08-03 13:21:52,14.7728,-17.41335,32,0.44,76,Sunny,2025-08-03 13:21:52,13,Sunday
R014,2025-08-01 06:29:33,14.7012,-17.41975,38,0.07,50,Cloudy,2025-08-01 06:29:33,6,Friday
R018,2025-08-03 15:23:26,14.76421,-17.46917,26,0.46,69,Cloudy,2025-08-03 15:23:26,15,Sunday
R003,2025-08-05 06:10:39,14.72078,-17.54885,18,0.38,57,Cloudy,2025-08-05 06:10:39,6,Tuesday
R004,2025-08-04 21:28:30,14.68088,-17.47535,33,0.3,51,Cloudy,2025-08-04 21:28:30,21,Monday
R014,2025-08-05 05:00:27,14.65333,-17.48175,23,0.32,64,Cloudy,2025-08-05 05:00:27,5,Tuesday
R010,2025-08-02 19:04:30,14.75569,-17.40638,21,0.47,69,Sunny,2025-08-02 19:04:30,19,Saturday
R013,2025-08-03 08:41:20,14.68703,-17.48854,17,0.72,88,Cloudy,2025-08-03 08:41:20,8,Sunday
R010,2025-08-06 04:16:40,14.70376,-17.52562,25,0.39,59,Cloudy,2025-08-06 04:16:40,4,Wednesday
R001,2025-08-04 22:30:35,14.77518,-17.45329,29,0.33,70,Sunny,2025-08-04 22:30:35,22,Monday
R014,2025-08-05 03:51:42,14.75649,-17.37316,24,0.21,53,Cloudy,2025-08-05 03:51:42,3,Tuesday
R015,2025-08-03 20:14:42,14.75694,-17.46525,23,0.3,62,Cloudy,2025-08-03 20:14:42,20,Sunday
R006,2025-08-02 06:41:54,14.74579,-17.37744,41,0.22,59,Sunny,2025-08-02 06:41:54,6,Saturday
R020,2025-08-05 07:37:50,14.72728,-17.45065,27,0.59,83,Sunny,2025-08-05 07:37:50,7,Tuesday
R008,2025-08-05 00:24:58,14.72519,-17.49517,25,0.22,61,Sunny,2025-08-05 00:24:58,0,Tuesday
R007,2025-08-03 00:55:11,14.71748,-17.53648,41,0.12,51,Sunny,2025-08-03 00:55:11,0,Sunday
R008,2025-08-07 00:23:36,14.73703,-17.35117,39,0.05,45,Cloudy,2025-08-07 00:23:36,0,Thursday
R003,2025-08-06 18:38:58,14.77449,-17.51494,41,0.15,58,Cloudy,2025-08-06 18:38:58,18,Wednesday
R019,2025-08-03 14:38:00,14.75341,-17.36456,31,0.18,50,Rain,2025-08-03 14:38:00,14,Sunday
R013,2025-08-07 05:59:52,14.75946,-17.44581,38,0.13,48,Cloudy,2025-08-07 05:59:52,5,Thursday
R005,2025-08-01 07:36:54,14.69682,-17.53247,29,0.54,88,Harmattan,2025-08-01 07:36:54,7,Friday
R004,2025-08-06 09:49:58,14.71704,-17.36612,26,0.43,75,Sunny,2025-08-06 09:49:58,9,Wednesday
R017,2025-08-06 21:18:35,14.68961,-17.53382,27,0.25,64,Sunny,2025-08-06 21:18:35,21,Wednesday
R008,2025-08-02 17:20:53,14.75692,-17.5235,10,0.77,85,Cloudy,2025-08-02 17:20:53,17,Saturday
R015,2025-08-07 16:42:12,14.65886,-17.54484,31,0.2,51,Windy,2025-08-07 16:42:12,16,Thursday
R020,2025-08-05 02:25:11,14.7158,-17.4621,25,0.34,58,Windy,2025-08-05 02:25:11,2,Tuesday
R015,2025-08-07 09:01:38,14.77933,-17.53844,23,0.47,67,Cloudy,2025-08-07 09:01:38,9,Thursday
R018,2025-08-06 15:52:54,14.77957,-17.38721,30,0.05,65,Harmattan,2025-08-06 15:52:54,15,Wednesday
R016,2025-08-06 17:05:32,14.6753,-17.47645,27,0.47,75,Sunny,2025-08-06 17:05:32,17,Wednesday
R008,2025-08-04 14:46:22,14.71257,-17.54616,22,0.4,50,Rain,2025-08-04 14:46:22,14,Monday
R017,2025-08-07 03:08:56,14.75977,-17.53038,17,0.45,67,Cloudy,2025-08-07 03:08:56,3,Thursday
R009,2025-08-06 14:07:19,14.70128,-17.45811,34,0.24,56,Sunny,2025-08-06 14:07:19,14,Wednesday
R010,2025-08-04 02:18:04,14.75931,-17.54231,33,0.08,57,Sunny,2025-08-04 02:18:04,2,Monday
R011,2025-08-07 19:19:50,14.72981,-17.53667,32,0.17,60,Sunny,2025-08-07 19:19:50,19,Thursday
R005,2025-08-04 01:21:35,14.65937,-17.53575,26,0.32,67,Cloudy,2025-08-04 01:21:35,1,Monday
R005,2025-08-03 20:19:05,14.67408,-17.51518,34,0.33,63,Sunny,2025-08-03 20:19:05,20,Sunday
R014,2025-08-05 06:22:34,14.66578,-17.427,48,0.14,60,Cloudy,2025-08-05 06:22:34,6,Tuesday
R014,2025-08-02 00:08:10,14.74725,-17.38765,29,0.12,49,Sunny,2025-08-02 00:08:10,0,Saturday
R014,2025-08-05 23:26:36,14.72968,-17.36138,32,0.05,69,Harmattan,2025-08-05 23:26:36,23,Tuesday
R019,2025-08-01 11:41:20,14.75607,-17.37773,32,0.4,80,Harmattan,2025-08-01 11:41:20,11,Friday
R019,2025-08-05 20:47:38,14.72085,-17.35307,28,0.25,52,Cloudy,2025-08-05 20:47:38,20,Tuesday
R012,2025-08-04 20:58:38,14.75929,-17.40344,37,0.35,57,Rain,2025-08-04 20:58:38,20,Monday
R014,2025-08-07 18:46:05,14.74895,-17.51799,19,0.57,62,Rain,2025-08-07 18:46:05,18,Thursday
R018,2025-08-03 22:14:11,14.7453,-17.4268,21,0.28,58,Cloudy,2025-08-03 22:14:11,22,Sunday
R009,2025-08-06 12:56:47,14.76396,-17.35073,30,0.07,54,Cloudy,2025-08-06 12:56:47,12,Wednesday
R013,2025-08-05 07:54:17,14.70364,-17.41088,25,0.67,74,Rain,2025-08-05 07:54:17,7,Tuesday
R013,2025-08-03 06:04:21,14.72299,-17.43787,38,0.1,73,Harmattan,2025-08-03 06:04:21,6,Sunday
R005,2025-08-07 17:34:29,14.66002,-17.53829,12,0.67,85,Sunny,2025-08-07 17:34:29,17,Thursday
R013,2025-08-01 13:53:38,14.70642,-17.53228,33,0.1,60,Sunny,2025-08-01 13:53:38,13,Friday
R014,2025-08-02 21:31:31,14.66538,-17.46802,21,0.2,69,Harmattan,2025-08-02 21:31:31,21,Saturday
R006,2025-08-01 20:38:47,14.69349,-17.54476,20,0.44,76,Sunny,2025-08-01 20:38:47,20,Friday
R011,2025-08-03 19:39:01,14.70956,-17.45341,32,0.26,57,Cloudy,2025-08-03 19:39:01,19,Sunday
R011,2025-08-05 20:25:42,14.74952,-17.51822,34,0.11,52,Sunny,2025-08-05 20:25:42,20,Tuesday
R014,2025-08-04 07:28:45,14.76781,-17.50009,38,0.27,74,Harmattan,2025-08-04 07:28:45,7,Monday
R016,2025-08-01 11:38:44,14.65437,-17.53747,38,0.05,33,Rain,2025-08-01 11:38:44,11,Friday
R002,2025-08-05 11:56:00,14.74501,-17.35374,34,0.28,65,Sunny,2025-08-05 11:56:00,11,Tuesday
R003,2025-08-01 17:43:33,14.72911,-17.4801,23,0.36,58,Rain,2025-08-01 17:43:33,17,Friday
R008,2025-08-03 16:04:04,14.6588,-17.40843,21,0.52,95,Harmattan,2025-08-03 16:04:04,16,Sunday
R020,2025-08-03 02:23:04,14.7101,-17.46765,35,0.15,55,Sunny,2025-08-03 02:23:04,2,Sunday
R016,2025-08-02 15:19:06,14.67141,-17.48396,30,0.28,54,Cloudy,2025-08-02 15:19:06,15,Saturday
R007,2025-08-06 21:27:03,14.77805,-17.3956,28,0.33,53,Rain,2025-08-06 21:27:03,21,Wednesday
R012,2025-08-03 06:52:19,14.75083,-17.3571,28,0.51,77,Cloudy,2025-08-03 06:52:19,6,Sunday
R004,2025-08-03 05:42:00,14.75373,-17.47081,32,0.17,51,Windy,2025-08-03 05:42:00,5,Sunday
R004,2025-08-01 13:28:45,14.67395,-17.3712,26,0.2,79,Harmattan,2025-08-01 13:28:45,13,Friday
R019,2025-08-05 19:18:57,14.77573,-17.46645,45,0.16,55,Cloudy,2025-08-05 19:18:57,19,Tuesday
R007,2025-08-02 04:08:08,14.66032,-17.4037,31,0.24,62,Cloudy,2025-08-02 04:08:08,4,Saturday
R008,2025-08-02 11:40:51,14.71125,-17.38567,30,0.05,43,Rain,2025-08-02 11:40:51,11,Saturday
R010,2025-08-02 17:15:35,14.66308,-17.50203,17,0.59,75,Rain,2025-08-02 17:15:35,17,Saturday
R019,2025-08-01 17:57:44,14.69581,-17.38171,23,0.46,73,Sunny,2025-08-01 17:57:44,17,Friday
R014,2025-08-05 17:56:11,14.67273,-17.37885,27,0.5,85,Sunny,2025-08-05 17:56:11,17,Tuesday
R011,2025-08-01 09:41:06,14.68969,-17.50747,30,0.45,89,Harmattan,2025-08-01 09:41:06,9,Friday
R016,2025-08-02 12:44:25,14.7372,-17.43791,13,0.39,69,Cloudy,2025-08-02 12:44:25,12,Saturday
R012,2025-08-06 19:54:31,14.77698,-17.52786,32,0.3,55,Rain,2025-08-06 19:54:31,19,Wednesday
R014,2025-08-03 09:18:12,14.74802,-17.38902,29,0.24,57,Rain,2025-08-03 09:18:12,9,Sunday
R009,2025-08-07 18:45:15,14.66255,-17.50162,19,0.43,64,Rain,2025-08-07 18:45:15,18,Thursday
R015,2025-08-06 12:52:12,14.766,-17.51293,26,0.33,85,Harmattan,2025-08-06 12:52:12,12,Wednesday
R019,2025-08-04 12:10:33,14.65827,-17.38373,41,0.12,57,Sunny,2025-08-04 12:10:33,12,Monday
R008,2025-08-02 07:14:32,14.71727,-17.46391,26,0.36,73,Sunny,2025-08-02 07:14:32,7,Saturday
R015,2025-08-04 05:01:49,14.72892,-17.42374,26,0.32,63,Rain,2025-08-04 05:01:49,5,Monday
R019,2025-08-05 20:23:19,14.77357,-17.42987,35,0.09,49,Sunny,2025-08-05 20:23:19,20,Tuesday
R016,2025-08-05 04:40:02,14.71142,-17.54087,24,0.25,57,Sunny,2025-08-05 04:40:02,4,Tuesday
R007,2025-08-05 13:21:00,14.67691,-17.44669,25,0.22,49,Rain,2025-08-05 13:21:00,13,Tuesday
R011,2025-08-04 15:27:23,14.77113,-17.4706,34,0.33,88,Harmattan,2025-08-04 15:27:23,15,Monday
R009,2025-08-01 08:57:24,14.77907,-17.5237,15,0.62,80,Cloudy,2025-08-01 08:57:24,8,Friday
R007,2025-08-02 06:56:11,14.72903,-17.48813,44,0.17,58,Sunny,2025-08-02 06:56:11,6,Saturday
R014,2025-08-07 04:18:31,14.70931,-17.47619,33,0.07,46,Cloudy,2025-08-07 04:18:31,4,Thursday
R008,2025-08-07 00:40:19,14.77242,-17.41629,41,0.06,44,Rain,2025-08-07 00:40:19,0,Thursday
R016,2025-08-06 16:32:25,14.74412,-17.52589,23,0.43,59,Rain,2025-08-06 16:32:25,16,Wednesday
R003,2025-08-04 19:42:08,14.68836,-17.4528,35,0.27,68,Sunny,2025-08-04 19:42:08,19,Monday
R008,2025-08-04 23:11:20,14.74002,-17.46401,25,0.37,56,Rain,2025-08-04 23:11:20,23,Monday
R012,2025-08-06 23:50:49,14.75691,-17.37849,37,0.16,57,Cloudy,2025-08-06 23:50:49,23,Wednesday
R012,2025-08-06 09:56:13,14.69869,-17.51663,19,0.72,88,Windy,2025-08-06 09:56:13,9,Wednesday
R018,2025-08-05 06:20:59,14.69428,-17.53566,27,0.1,50,Cloudy,2025-08-05 06:20:59,6,Tuesday
R015,2025-08-04 12:54:36,14.73948,-17.52189,27,0.26,63,Sunny,2025-08-04 12:54:36,12,Monday
R008,2025-08-02 17:08:36,14.65402,-17.4724,36,0.18,51,Rain,2025-08-02 17:08:36,17,Saturday
